datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
1122,2013,49415,6260.0,5880.0,75.0,2860.0,303.0,423.0,374.0,6.0,Muskegon,67474.52136660414,724.6183115338882,197896.66161566295,1.1980830670926517,93.9297124600639,4.840255591054313,0.09584664536741214,5.974440894568691,6.757188498402556
1123,2014,49415,6271.0,5976.0,95.0,3015.0,188.0,381.0,326.0,5.0,Muskegon,68181.34565929981,868.7899178832117,189975.39537712897,1.5149099027268378,95.29580609153246,2.9979269653962684,0.07973210014351778,5.198532929357359,6.075586030936055
1124,2015,49415,6578.0,6251.0,117.0,3164.0,168.0,452.0,378.0,61.0,Muskegon,69450.36071674184,856.1897754169532,188336.03918706253,1.7786561264822136,95.02888415931893,2.553967771359076,0.9273335360291882,5.74642748555792,6.871389480085133
1125,2016,49415,6870.0,6563.0,108.0,3314.0,141.0,330.0,267.0,50.0,Muskegon,69755.67958434546,826.4800693313111,175706.36189777797,1.572052401746725,95.53129548762736,2.052401746724891,0.727802037845706,3.88646288209607,4.8034934497816595
1126,2017,49415,7089.0,6790.0,103.0,3416.0,125.0,411.0,358.0,40.0,Muskegon,70669.93065437337,745.8436684073107,180867.08958877283,1.4529552828325574,95.78219777119482,1.7632952461560163,0.5642544787699253,5.050077584990831,5.797714769360981
1127,2018,49415,6863.0,6708.0,64.0,3429.0,140.0,362.0,325.0,33.0,Muskegon,74184.55667106053,828.7760436785911,186747.632682482,0.9325367914906019,97.7415124581087,2.0399242313856916,0.4808392831123416,4.735538394288212,5.274661226868716
1128,2019,49415,6905.0,6709.0,60.0,3363.0,200.0,332.0,293.0,39.0,Muskegon,78332.43074901137,788.9974614424794,189740.77924719447,0.8689355539464156,97.16147719044172,2.896451846488052,0.5648081100651702,4.243301955104997,4.808110065170166
1129,2020,49415,7070.0,6961.0,21.0,3461.0,163.0,281.0,281.0,0.0,Muskegon,86124.10371274792,820.5883598456016,194256.92880132608,0.297029702970297,98.45827439886847,2.3055162659123054,0.0,3.9745403111739748,3.9745403111739748
1140,2011,49425,3757.0,3602.0,0.0,1489.0,165.0,757.0,717.0,0.0,Muskegon,60215.96079826086,575.7043020552239,138169.03249325373,0.0,95.87436784668618,4.391801969656641,0.0,19.084375831780676,20.149055097151983
1141,2012,49425,3519.0,3397.0,2.0,1319.0,168.0,905.0,889.0,2.0,Muskegon,55788.73129959842,573.3218812338301,133642.39222279328,0.05683432793407218,96.53310599602159,4.774083546462063,0.05683432793407218,25.262858766695086,25.717533390167663
1142,2013,49425,3756.0,3581.0,3.0,1271.0,264.0,1002.0,974.0,3.0,Muskegon,52765.03123752452,568.9692518361758,119548.9416501758,0.07987220447284345,95.34078807241747,7.0287539936102235,0.07987220447284345,25.931842385516507,26.677316293929714
1143,2014,49425,3734.0,3582.0,6.0,1319.0,202.0,1031.0,1001.0,6.0,Muskegon,55294.93875878616,586.9158556366585,124848.32894025413,0.16068559185859668,95.92929833958222,5.4097482592394215,0.16068559185859668,26.807712908409215,27.611140867702193
1144,2015,49425,3608.0,3471.0,9.0,1264.0,220.0,1034.0,1008.0,9.0,Muskegon,55865.74006083952,633.7861250458828,123928.97049578725,0.24944567627494454,96.20288248337029,6.097560975609756,0.24944567627494454,27.93791574279379,28.65853658536585
1145,2016,49425,3737.0,3588.0,8.0,1324.0,246.0,1099.0,1036.0,8.0,Muskegon,55315.76513185032,691.9072777044003,117941.62586924549,0.21407546160021407,96.01284452769602,6.5828204442065825,0.21407546160021407,27.722772277227726,29.408616537329408
1146,2017,49425,3847.0,3691.0,5.0,1415.0,224.0,979.0,909.0,5.0,Muskegon,56715.195618472586,668.773156005222,127290.65274151436,0.12997140629061607,95.94489212373279,5.8227190018196,0.12997140629061607,23.628801663634,25.448401351702625
1147,2018,49425,3841.0,3684.0,3.0,1496.0,137.0,931.0,850.0,3.0,Muskegon,63829.10314726392,646.7608071459576,128624.100483061,0.07810466024472794,95.9125227805259,3.5667794845092424,0.07810466024472794,22.12965373600625,24.2384795626139
1148,2019,49425,3823.0,3617.0,0.0,1442.0,144.0,869.0,752.0,0.0,Muskegon,56471.71860735282,614.9889578615097,123832.07891823813,0.0,94.61156160083704,3.7666753858226523,0.0,19.67041590374052,22.730839654721425
1149,2020,49425,3977.0,3778.0,0.0,1674.0,110.0,785.0,700.0,0.0,Muskegon,60114.86691833037,600.4305072040987,123618.04560084386,0.0,94.99622831279859,2.765903947699271,0.0,17.60120693990445,19.738496354035707
1150,2011,49437,7026.0,6679.0,27.0,3172.0,374.0,788.0,738.0,2.0,Muskegon,69696.79470434207,700.3273509707077,169866.63406523547,0.3842869342442357,95.06120125249075,5.323085681753487,0.02846569883290635,10.503842869342442,11.215485340165102
1151,2012,49437,6938.0,6730.0,34.0,3035.0,293.0,902.0,888.0,2.0,Muskegon,66014.2986489194,674.1840640434855,159919.64511267716,0.49005477082732773,97.00201787258575,4.223119054482559,0.028826751225136928,12.799077543960797,13.000864802536755
1152,2013,49437,6990.0,6740.0,33.0,2998.0,257.0,981.0,929.0,2.0,Muskegon,64394.239554939326,661.8354975381723,151071.1461771915,0.4721030042918455,96.42346208869814,3.6766809728183114,0.028612303290414882,13.29041487839771,14.034334763948497
1153,2014,49437,7004.0,6737.0,39.0,2953.0,230.0,960.0,919.0,4.0,Muskegon,63899.17668626656,637.1126064476886,149174.44664098404,0.5568246716162193,96.18789263278127,3.2838378069674468,0.05711022272986865,13.121073672187322,13.706453455168473
1154,2015,49437,6919.0,6642.0,36.0,2932.0,231.0,1021.0,952.0,6.0,Muskegon,64702.74984494783,627.3582738790889,152468.62967635234,0.5203064026593439,95.99653129064893,3.338632750397456,0.0867177337765573,13.75921375921376,14.756467697644169
1155,2016,49437,6934.0,6629.0,46.0,2939.0,196.0,885.0,834.0,7.0,Muskegon,65234.795518464045,667.7857395825955,148410.93718099888,0.6633977502163254,95.60138448226132,2.82665128353043,0.1009518315546582,12.02768964522642,12.763195846553216
1156,2017,49437,7068.0,6759.0,38.0,3028.0,211.0,826.0,766.0,8.0,Muskegon,67582.1378671671,667.530083224543,151033.34285248042,0.5376344086021506,95.62818336162988,2.985285795132994,0.11318619128466327,10.837577815506508,11.686474250141483
1157,2018,49437,6984.0,6680.0,33.0,3035.0,201.0,685.0,654.0,7.0,Muskegon,69892.63739362104,677.0966799013966,155441.011998869,0.4725085910652921,95.64719358533792,2.8780068728522337,0.10022909507445589,9.36426116838488,9.808132875143185
1158,2019,49437,6852.0,6592.0,45.0,2979.0,190.0,679.0,650.0,7.0,Muskegon,71698.65450975331,701.9932096519947,160421.5382328667,0.6567425569176882,96.20548744892002,2.772913018096906,0.10215995329830707,9.48628137769994,9.909515469935785
1159,2020,49437,6667.0,6397.0,39.0,2925.0,188.0,545.0,527.0,9.0,Muskegon,76261.73830324059,704.034202564806,176126.28211320232,0.5849707514624268,95.95020248987551,2.8198590070496476,0.13499325033748313,7.904604769761511,8.174591270436478
1160,2011,49440,1167.0,625.0,393.0,508.0,131.0,311.0,107.0,110.0,Muskegon,29569.527551914078,587.8956872752169,115411.78008260016,33.67609254498715,53.55612682090831,11.225364181662382,9.425878320479864,9.168808911739502,26.649528706083974
1161,2012,49440,1149.0,632.0,415.0,462.0,115.0,327.0,153.0,110.0,Muskegon,27524.7588351612,565.3590773278047,114398.94944989852,36.118363794604,55.00435161009574,10.008703220191471,9.573542210617928,13.315926892950392,28.459530026109658
1162,2013,49440,1008.0,623.0,251.0,411.0,34.0,271.0,136.0,67.0,Muskegon,27986.74731388196,558.5054495035565,100844.89498061874,24.900793650793652,61.80555555555556,3.373015873015873,6.646825396825397,13.492063492063492,26.884920634920633
1163,2014,49440,1033.0,634.0,220.0,363.0,60.0,340.0,162.0,51.0,Muskegon,27053.47449479589,570.1836053663153,105799.30555555556,21.297192642787994,61.37463697967086,5.808325266214908,4.937076476282671,15.682478218780252,32.91384317521781
1164,2015,49440,824.0,592.0,79.0,286.0,38.0,261.0,125.0,52.0,Muskegon,27596.05062927976,587.5055966449664,105545.31615875654,9.587378640776699,71.84466019417476,4.611650485436893,6.310679611650485,15.169902912621358,31.6747572815534
1165,2016,49440,807.0,580.0,89.0,243.0,77.0,326.0,200.0,57.0,Muskegon,18578.66257234164,604.3080076831093,112101.67453449276,11.028500619578686,71.87112763320943,9.541511771995044,7.063197026022305,24.783147459727388,40.39653035935564
1166,2017,49440,861.0,593.0,126.0,303.0,73.0,368.0,215.0,85.0,Muskegon,19399.39381527415,583.0011341383812,132138.63658616188,14.634146341463413,68.87340301974449,8.478513356562138,9.872241579558652,24.97096399535424,42.74099883855981
1167,2018,49440,983.0,734.0,106.0,337.0,79.0,399.0,244.0,74.0,Muskegon,17775.60799977699,567.8875379818165,137846.20580071444,10.783316378433367,74.66937945066124,8.036622583926754,7.527975584944049,24.821973550356052,40.590030518819944
1168,2019,49440,811.0,651.0,66.0,275.0,54.0,223.0,161.0,44.0,Muskegon,17716.687710487095,551.8214873834864,123116.97547886426,8.138101109741061,80.27127003699137,6.658446362515413,5.425400739827373,19.852034525277436,27.49691738594328
1169,2020,49440,800.0,658.0,60.0,282.0,46.0,220.0,170.0,39.0,Muskegon,20072.03866141702,525.0823651235844,131270.5912808961,7.5,82.25,5.75,4.875,21.25,27.500000000000004
1170,2011,49441,37009.0,31615.0,3374.0,15480.0,2882.0,6242.0,4020.0,1668.0,Muskegon,56512.48888809855,759.9296787128955,150902.25705635748,9.116701342916587,85.42516685130644,7.787294982301603,4.50701180793861,10.862222702585859,16.86616768894053
1171,2012,49441,36654.0,31469.0,3146.0,15932.0,2878.0,6308.0,3948.0,1641.0,Muskegon,57774.12374016742,753.8121031037397,143728.61050375883,8.582965024281116,85.8542041796257,7.851803350248268,4.477001145850385,10.770993615976428,17.20958149178807
1172,2013,49441,36322.0,31035.0,3173.0,15670.0,2720.0,6627.0,4275.0,1757.0,Muskegon,56146.14736625214,744.2379409075495,130535.93409942609,8.735752436539839,85.44408347557953,7.488574417708276,4.837288695556412,11.76972633665547,18.245140686085566
1173,2014,49441,35578.0,30592.0,2925.0,15498.0,2301.0,6056.0,3956.0,1501.0,Muskegon,55951.35780785347,752.9512621654502,125234.45779264667,8.22137275844623,85.98572151329473,6.467479903311036,4.218899319804374,11.11923098544044,17.021755017145427
