datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
10,2011,48017,11932.0,11183.0,206.0,6418.0,789.0,730.0,665.0,8.0,Oakland,69725.24126985538,961.7648340216682,206847.1692325475,1.726449882668455,93.72276231981228,6.612470667113644,0.0670465973851827,5.573248407643312,6.118002011397921,42.536413516,-83.152433309
11,2012,48017,11885.0,11027.0,124.0,6147.0,869.0,977.0,901.0,0.0,Oakland,68822.5141597777,948.9007988013624,180224.795073042,1.043331931005469,92.780816154817,7.311737484223811,0.0,7.580984434160706,8.220445940260833,42.536413516,-83.152433309
12,2013,48017,11913.0,11101.0,80.0,6244.0,825.0,889.0,754.0,0.0,Oakland,67842.06242353738,927.3544817283876,165458.87438454307,0.6715352975740787,93.1839167296231,6.925207756232688,0.0,6.329220179635692,7.462435994291949,42.536413516,-83.152433309
13,2014,48017,11943.0,11012.0,127.0,6518.0,692.0,950.0,804.0,0.0,Oakland,69530.22245032442,917.6995725196,158184.1198634766,1.063384409277401,92.20463870049402,5.794189064724106,0.0,6.7319768902285855,7.954450305618353,42.536413516,-83.152433309
14,2015,48017,11979.0,10931.0,197.0,6758.0,441.0,702.0,588.0,0.0,Oakland,72380.17527856652,928.1817084850454,162753.19154322267,1.6445446197512317,91.25135654061272,3.6814425244177302,0.0,4.908590032556974,5.860255447032307,42.536413516,-83.152433309
15,2016,48017,11982.0,11166.0,155.0,6773.0,402.0,776.0,647.0,9.0,Oakland,75213.49497306328,922.9662218185302,176975.9165357677,1.2936070772825905,93.18978467701552,3.355032548823235,0.0751126690035052,5.3997663161408775,6.4763812385244535,42.536413516,-83.152433309
16,2017,48017,11980.0,11272.0,155.0,7019.0,294.0,772.0,670.0,8.0,Oakland,78250.188470953,928.5753671671018,194043.66106396867,1.2938230383973288,94.09015025041737,2.4540901502504173,0.0667779632721202,5.592654424040067,6.444073455759599,42.536413516,-83.152433309
17,2018,48017,11993.0,11164.0,209.0,6911.0,205.0,830.0,746.0,11.0,Oakland,81683.58441620503,944.052360149259,202036.9125512232,1.7426832318852663,93.08763445343116,1.7093304427582758,0.0917201700992245,6.220295172183774,6.92070374385058,42.536413516,-83.152433309
18,2019,48017,11910.0,11179.0,138.0,6968.0,199.0,857.0,760.0,12.0,Oakland,81263.16301137852,1004.7203323202572,212385.721494033,1.1586901763224182,93.8623005877414,1.670864819479429,0.1007556675062972,6.381192275398824,7.195633921074728,42.536413516,-83.152433309
19,2020,48017,11852.0,11164.0,68.0,6980.0,218.0,873.0,803.0,11.0,Oakland,84693.66632793816,1000.7175120068314,224513.91710553263,0.5737428282146473,94.19507256159298,1.8393520080998988,0.0928113398582517,6.775227809652379,7.365845426932164,42.536413516,-83.152433309
20,2011,48025,14593.0,12998.0,1089.0,6659.0,405.0,286.0,223.0,34.0,Oakland,147770.42565317708,1576.752488452425,449862.11461774085,7.462482011923526,89.07010210374837,2.775303227574865,0.2329884191050503,1.5281299253066538,1.959843760707188,42.518746039,-83.251786625
21,2012,48025,14610.0,12874.0,1117.0,6832.0,449.0,345.0,275.0,32.0,Oakland,148443.9175501102,1507.6242062074791,404908.57862139255,7.645448323066392,88.11772758384669,3.073237508555784,0.2190280629705681,1.8822724161533195,2.3613963039014374,42.518746039,-83.251786625
22,2013,48025,14576.0,12718.0,1028.0,6904.0,422.0,472.0,367.0,21.0,Oakland,146732.5921350292,1611.425559223376,390299.8270067008,7.052689352360043,87.2530186608123,2.8951701427003296,0.144072447859495,2.5178375411635567,3.238199780461032,42.518746039,-83.251786625
23,2014,48025,14616.0,12616.0,1061.0,6951.0,416.0,445.0,342.0,14.0,Oakland,137039.70390646122,1539.367024871587,383812.07927818334,7.259168035030104,86.31636562671045,2.8461959496442253,0.0957854406130268,2.3399014778325125,3.044608648056924,42.518746039,-83.251786625
24,2015,48025,14687.0,12711.0,857.0,7142.0,323.0,421.0,340.0,14.0,Oakland,144978.897496804,1443.6953720619197,407911.4350447436,5.835092258459863,86.54592496765846,2.1992238033635187,0.0953223939538367,2.314972424593177,2.866480561040376,42.518746039,-83.251786625
25,2016,48025,14762.0,12659.0,982.0,7291.0,256.0,412.0,355.0,0.0,Oakland,147791.3945176599,1407.9360935306051,445994.5443257905,6.652215146999052,85.75396287765885,1.7341823601138058,0.0,2.4048231946890666,2.790949735808156,42.518746039,-83.251786625
26,2017,48025,14758.0,12484.0,1259.0,7326.0,282.0,404.0,343.0,7.0,Oakland,148954.92516318537,1414.6168244125329,455586.1741187989,8.530966255590188,84.59140804987125,1.910828025477707,0.0474319013416452,2.3241631657406154,2.7374983060035234,42.518746039,-83.251786625
27,2018,48025,14867.0,12415.0,1505.0,7460.0,247.0,332.0,288.0,32.0,Oakland,149695.39769898888,1417.2919751341062,470448.71469134674,10.12309141050649,83.50709625344723,1.661397726508374,0.2152418107217327,1.9371762964955943,2.233133786237977,42.518746039,-83.251786625
28,2019,48025,14820.0,12307.0,1409.0,7412.0,208.0,366.0,263.0,33.0,Oakland,164776.5181786534,1442.125269403928,491514.4306629585,9.507422402159245,83.04318488529015,1.4035087719298245,0.2226720647773279,1.7746288798920378,2.4696356275303644,42.518746039,-83.251786625
29,2020,48025,14777.0,12130.0,1421.0,7132.0,169.0,741.0,582.0,25.0,Oakland,165024.20430352652,1517.5586740903595,489880.6549953442,9.616295594504974,82.0870271367666,1.1436692156730055,0.1691818366380185,3.938553156933072,5.01454963795087,42.518746039,-83.251786625
30,2011,48030,16703.0,13536.0,1559.0,6674.0,1627.0,4467.0,2924.0,844.0,Oakland,47467.83565322154,960.4102356638912,106200.5112497166,9.333652637250792,81.0393342513321,9.740765132012214,5.052984493803509,17.505837274741065,26.74369873675388,42.460689256,-83.09825463
31,2012,48030,16579.0,13757.0,1496.0,6707.0,1371.0,4293.0,2904.0,695.0,Oakland,43921.49921165187,927.6666550519614,83742.15441170066,9.023463417576451,82.97846673502623,8.269497557150613,4.192050183967671,17.516134869413115,25.894203510465047,42.460689256,-83.09825463
32,2013,48030,16528.0,13664.0,1705.0,6510.0,1313.0,4503.0,3403.0,756.0,Oakland,40383.73712745271,905.1189017715716,71546.24844928464,10.315827686350437,82.67182962245886,7.944094869312682,4.57405614714424,20.58930300096805,27.244675701839306,42.460689256,-83.09825463
33,2014,48030,16532.0,13849.0,1746.0,6534.0,1317.0,4731.0,3437.0,870.0,Oakland,40667.09073398216,912.5511878210328,63196.422174912135,10.561335591579969,83.77086861843696,7.966368255504476,5.262521171062183,20.789983063150256,28.61722719574159,42.460689256,-83.09825463
34,2015,48030,16600.0,13706.0,1976.0,6871.0,965.0,4488.0,3244.0,860.0,Oakland,44015.3536497382,925.610568018328,64664.18273794706,11.903614457831326,82.56626506024097,5.813253012048192,5.1807228915662655,19.5421686746988,27.03614457831325,42.460689256,-83.09825463
35,2016,48030,16587.0,13398.0,2083.0,7485.0,678.0,4165.0,3019.0,669.0,Oakland,42376.46426145904,902.6533476106948,65001.197465073936,12.55802737083258,80.77410019895098,4.087538433713149,4.033279073973594,18.201000783746306,25.11002592391632,42.460689256,-83.09825463
36,2017,48030,16587.0,13488.0,2048.0,7512.0,556.0,4254.0,2960.0,870.0,Oakland,43691.52209530026,886.3108926240209,68990.53932767623,12.3470187496232,81.31669379634654,3.352022668354736,5.245071441490324,17.84530053656478,25.64659070356303,42.460689256,-83.09825463
37,2018,48030,16592.0,13174.0,2202.0,7879.0,678.0,4055.0,2604.0,943.0,Oakland,43461.59817926223,899.1552684712095,74140.87301429271,13.271456123432978,79.3997107039537,4.086306653809064,5.683461909353905,15.694310511089682,24.439488910318225,42.460689256,-83.09825463
