datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
35,2016,48030,16587.0,13398.0,2083.0,7485.0,678.0,4165.0,3019.0,669.0,33379.0,711.0,51200.0,Oakland,42376.46426145904,902.6533476106947,65001.197465073936
36,2017,48030,16587.0,13488.0,2048.0,7512.0,556.0,4254.0,2960.0,870.0,35148.0,713.0,55500.0,Oakland,43691.52209530026,886.3108926240209,68990.53932767623
37,2018,48030,16592.0,13174.0,2202.0,7879.0,678.0,4055.0,2604.0,943.0,35817.0,741.0,61100.0,Oakland,43461.598179262226,899.1552684712095,74140.87301429271
38,2019,48030,16525.0,13023.0,2197.0,8086.0,586.0,3718.0,2285.0,923.0,38903.0,764.0,73600.0,Oakland,46366.11516993471,910.5650461360339,87719.35522985875
39,2020,48030,16452.0,13166.0,1823.0,8716.0,455.0,2957.0,1948.0,636.0,43725.0,764.0,86100.0,Oakland,51478.08613235141,899.4684460861401,101366.79739269197
40,2011,48033,16481.0,4004.0,11498.0,7029.0,1057.0,2159.0,557.0,1189.0,43414.0,771.0,139200.0,Oakland,58808.533104530565,1044.395333846065,188560.09140255803
41,2012,48033,16258.0,4089.0,11366.0,6545.0,1187.0,2537.0,901.0,1360.0,41766.0,786.0,113500.0,Oakland,55429.07798984295,1043.1273116893299,150629.70722231417
42,2013,48033,16553.0,3839.0,11977.0,6755.0,1278.0,3098.0,917.0,1874.0,44011.0,787.0,99100.0,Oakland,57565.300557613635,1029.376554471426,129620.35139532188
43,2014,48033,15976.0,4118.0,11097.0,6659.0,1155.0,2682.0,996.0,1449.0,44643.0,802.0,87600.0,Oakland,57459.83452453366,1032.2511320627195,112749.62489862124
44,2015,48033,16322.0,4113.0,11414.0,7059.0,912.0,3017.0,963.0,1713.0,45629.0,795.0,87300.0,Oakland,58659.284177928166,1022.028335520237,112230.28137222225
45,2016,48033,16420.0,4095.0,11297.0,7323.0,806.0,3028.0,866.0,1925.0,46707.0,827.0,93300.0,Oakland,59297.0884765861,1049.9216856175028,118449.44772444137
46,2017,48033,16507.0,3824.0,11542.0,7625.0,722.0,2712.0,589.0,1828.0,47326.0,860.0,102000.0,Oakland,58829.66241840731,1069.042591383812,126793.42362924281
47,2018,48033,16457.0,3557.0,11616.0,8012.0,588.0,1985.0,544.0,1155.0,49845.0,912.0,127500.0,Oakland,60483.66309979411,1106.6526381184117,154712.95105273847
48,2019,48033,16757.0,3422.0,11837.0,7833.0,564.0,2556.0,544.0,1439.0,49105.0,957.0,141400.0,Oakland,58525.25731742138,1140.5899858012885,168526.0438791036
49,2020,48033,17247.0,3501.0,12135.0,8017.0,527.0,2272.0,392.0,1425.0,51951.0,967.0,150500.0,Oakland,61162.677019137525,1138.4633342477716,177185.86536120955
50,2011,48034,13095.0,2825.0,9199.0,5956.0,818.0,2206.0,510.0,1511.0,41304.0,825.0,173500.0,Oakland,55950.330569621095,1117.5436451660228,235022.81507430904
51,2012,48034,13296.0,2740.0,9460.0,5834.0,890.0,2130.0,490.0,1473.0,43181.0,838.0,143400.0,Oakland,57306.97257768061,1112.1382788748836,190311.0133540075
52,2013,48034,13463.0,2864.0,9770.0,5789.0,917.0,2379.0,420.0,1792.0,40731.0,829.0,124100.0,Oakland,53275.14160123972,1084.3115167176775,162319.7336847573
53,2014,48034,13997.0,3035.0,10213.0,6184.0,874.0,2362.0,546.0,1598.0,42427.0,838.0,122500.0,Oakland,54607.62940152745,1078.5865943498243,157669.2813936199
54,2015,48034,13807.0,2953.0,9973.0,6274.0,727.0,2051.0,432.0,1435.0,40608.0,839.0,132100.0,Oakland,52204.43603623369,1078.5934257880238,169823.82782669598
55,2016,48034,13348.0,2935.0,9397.0,6506.0,697.0,1812.0,406.0,1340.0,41244.0,867.0,134000.0,Oakland,52361.51148924823,1100.703871137092,170120.32149062317
56,2017,48034,13842.0,2751.0,10049.0,6782.0,711.0,1782.0,319.0,1327.0,45265.0,894.0,163600.0,Oakland,56267.68941742819,1111.3070659268928,203366.70691906006
57,2018,48034,13819.0,2822.0,9692.0,6961.0,554.0,1496.0,234.0,1115.0,45964.0,958.0,172500.0,Oakland,55774.32221323977,1162.4706439884194,209317.52201252853
58,2019,48034,13846.0,2810.0,9640.0,6895.0,527.0,1495.0,210.0,1162.0,48481.0,983.0,186000.0,Oakland,57781.54974047258,1171.5778015074884,221682.06620589303
59,2020,48034,14213.0,2346.0,10192.0,7265.0,523.0,1708.0,166.0,1450.0,50672.0,1002.0,208500.0,Oakland,59656.89149224724,1179.6693494480528,245470.11912167567
60,2011,48067,24760.0,22997.0,577.0,15197.0,1253.0,1814.0,1666.0,14.0,64809.0,815.0,169400.0,Oakland,87790.16496916943,1103.9976615882529,229468.96180742333
61,2012,48067,24457.0,22861.0,466.0,15095.0,1211.0,1907.0,1738.0,52.0,65890.0,831.0,162300.0,Oakland,87444.85822800249,1102.8483409845205,215393.84565798758
62,2013,48067,24944.0,23146.0,522.0,15742.0,1027.0,1825.0,1634.0,48.0,66659.0,854.0,159500.0,Oakland,87188.32496125896,1117.010899007113,208622.0590065978
63,2014,48067,25366.0,23483.0,649.0,15995.0,965.0,1844.0,1666.0,87.0,68107.0,878.0,161900.0,Oakland,87660.25916632875,1130.070441335496,208380.87067450662
64,2015,48067,25210.0,23331.0,582.0,16137.0,818.0,1794.0,1617.0,74.0,68926.0,884.0,169600.0,Oakland,88609.21390448787,1136.444086289169,218032.71157765057
65,2016,48067,25017.0,23035.0,644.0,16210.0,561.0,1707.0,1479.0,149.0,73182.0,902.0,179200.0,Oakland,92908.54751736407,1145.1382834667322,227504.19112775876
66,2017,48067,25199.0,23081.0,727.0,16259.0,516.0,1572.0,1350.0,107.0,78412.0,942.0,196500.0,Oakland,97471.82287859007,1170.9745593994778,244263.80140339426
67,2018,48067,24901.0,22582.0,881.0,15886.0,562.0,1602.0,1320.0,137.0,82025.0,1018.0,219100.0,Oakland,99531.99851059509,1235.2767386014727,265863.58882866666
68,2019,48067,24556.0,22237.0,746.0,16028.0,487.0,1484.0,1223.0,105.0,85939.0,1065.0,234200.0,Oakland,102425.45746058195,1269.3086048885812,279128.7091689256
69,2020,48067,24685.0,22077.0,744.0,16204.0,570.0,1475.0,1198.0,109.0,89538.0,1095.0,240800.0,Oakland,105414.4054000796,1289.1596184088003,283497.38457793527
