datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
660,2011,48415,9878.0,9555.0,51.0,4227.0,612.0,1149.0,1136.0,4.0,Saginaw,74502.90967773486,705.7457444018156,167834.73652856995,0.5162988459202268,96.7301073091719,6.195586151042722,0.04049402713099817,11.500303705203482,11.631909293379227
661,2012,48415,9707.0,9340.0,64.0,4171.0,582.0,1107.0,1100.0,1.0,Saginaw,73391.83646785196,717.9794855266254,155938.24315966445,0.6593180179252086,96.21922324096013,5.995673225507366,0.010301844030081385,11.332028433089523,11.404141341300093
662,2013,48415,9639.0,9277.0,59.0,4149.0,659.0,974.0,903.0,2.0,Saginaw,72654.1035212507,766.4735208643656,156433.84487265893,0.6120966905280631,96.2444236954041,6.836808797593111,0.020749040356883495,9.368191721132897,10.104782653802262
663,2014,48415,9349.0,8918.0,94.0,4137.0,533.0,920.0,849.0,2.0,Saginaw,73045.28210327115,728.4964348472561,155738.63713165722,1.0054551288907905,95.38988127072415,5.70114450743395,0.02139266231682533,9.081185153492353,9.840624665739652
664,2015,48415,9068.0,8666.0,71.0,4112.0,406.0,889.0,836.0,2.0,Saginaw,68063.2304349477,694.2079260137458,149640.375162963,0.7829730921923246,95.56682840758712,4.477282752536392,0.022055580061755623,9.219232465813851,9.803705337450374
665,2016,48415,9265.0,8963.0,88.0,4237.0,350.0,912.0,843.0,5.0,Saginaw,70432.35220639399,702.0637148083181,152854.3784139629,0.9498111171073934,96.74042093901781,3.7776578521316786,0.053966540744738264,9.098758769562872,9.84349703184026
666,2017,48415,9277.0,8994.0,88.0,4328.0,348.0,775.0,700.0,4.0,Saginaw,72913.67702349869,718.4960672323759,164582.83616187988,0.9485825158995366,96.94944486364126,3.7512126765118032,0.043117387086342565,7.5455427401099495,8.353993747978873
667,2018,48415,9353.0,9126.0,96.0,4490.0,184.0,653.0,649.0,3.0,Saginaw,73738.01262410048,717.140031938576,165876.55222674,1.0264086389393778,97.5729712391746,1.9672832246338072,0.03207526996685556,6.938950069496418,6.981717096118892
668,2019,48415,9107.0,8952.0,108.0,4373.0,152.0,600.0,591.0,9.0,Saginaw,74460.14562480197,752.050450408164,166380.7335609821,1.1859009553091029,98.29801251784342,1.669045788953552,0.09882507960909191,6.489513560997036,6.588338640606127
669,2020,48415,9125.0,8951.0,113.0,4217.0,133.0,620.0,606.0,8.0,Saginaw,76508.97439444228,755.8360502451596,164706.32932912433,1.2383561643835617,98.0931506849315,1.4575342465753425,0.08767123287671233,6.641095890410958,6.794520547945206
670,2011,48417,2770.0,2721.0,0.0,1233.0,195.0,320.0,320.0,0.0,Saginaw,57922.6257785444,567.576711908562,150495.87754902442,0.0,98.23104693140795,7.039711191335741,0.0,11.552346570397113,11.552346570397113
671,2012,48417,2830.0,2785.0,0.0,1187.0,209.0,426.0,399.0,0.0,Saginaw,56218.7227105238,384.8688554578953,140676.2023397824,0.0,98.40989399293287,7.385159010600708,0.0,14.09893992932862,15.053003533568903
672,2013,48417,2741.0,2699.0,0.0,1075.0,180.0,311.0,285.0,0.0,Saginaw,60666.50997394369,402.856389805844,134721.4550324738,0.0,98.46771251368114,6.566946369937979,0.0,10.397665085735133,11.346224005837286
673,2014,48417,2751.0,2686.0,0.0,1139.0,146.0,253.0,197.0,0.0,Saginaw,62209.219408961886,710.4770884022709,122917.68467829144,0.0,97.63722282806252,5.307161032351872,0.0,7.161032351872046,9.196655761541257
674,2015,48417,2862.0,2797.0,0.0,1243.0,147.0,271.0,213.0,0.0,Saginaw,59944.85441128696,731.4894627811507,120586.48788905438,0.0,97.7288609364081,5.136268343815513,0.0,7.4423480083857445,9.46890286512928
675,2016,48417,2755.0,2692.0,0.0,1139.0,122.0,291.0,243.0,0.0,Saginaw,66939.80739728424,773.1587745357427,122258.11163841056,0.0,97.71324863883848,4.428312159709619,0.0,8.82032667876588,10.562613430127042
676,2017,48417,2677.0,2635.0,0.0,1232.0,76.0,250.0,236.0,0.0,Saginaw,70488.44202839426,745.8436684073107,126669.11635117492,0.0,98.43107956667912,2.838998879342548,0.0,8.815838625326858,9.338812103100485
677,2018,48417,2610.0,2477.0,30.0,1189.0,106.0,317.0,270.0,30.0,Saginaw,67172.11632491328,819.0685643968508,139666.3581660408,1.1494252873563218,94.90421455938697,4.061302681992337,1.1494252873563218,10.344827586206897,12.145593869731801
