datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
943,2014,48838,17909.0,17146.0,38.0,6659.0,809.0,3628.0,3322.0,28.0,Kent,53353.99772742633,804.435109151122,137461.87145174373,0.2121838181919705,95.7395722820928,4.517281813613267,0.1563459712993467,18.54933273772963,20.25797085264392,43.181899636,-85.273068863
944,2015,48838,17925.0,17188.0,28.0,7090.0,720.0,3817.0,3504.0,14.0,Kent,54100.65213043791,802.1958256158841,132285.17701261936,0.1562064156206415,95.8884239888424,4.01673640167364,0.0781032078103207,19.548117154811717,21.29428172942817,43.181899636,-85.273068863
945,2016,48838,18016.0,17339.0,26.0,7638.0,566.0,3670.0,3374.0,15.0,Kent,57173.12356722929,743.9590178619791,140920.5648168595,0.1443161634103019,96.24222912966252,3.1416518650088805,0.0832593250444049,18.72779751332149,20.370781527531083,43.181899636,-85.273068863
946,2017,48838,18130.0,17548.0,40.0,7913.0,470.0,3358.0,3052.0,23.0,Kent,57318.08591710183,752.0590323107049,146806.89539817235,0.2206287920573635,96.78985107556537,2.592388306674021,0.126861555432984,16.833976833976834,18.521787093215664,43.181899636,-85.273068863
947,2018,48838,18301.0,17616.0,104.0,8662.0,378.0,2783.0,2527.0,22.0,Kent,58358.93857200317,729.2743810407516,149737.86792084647,0.5682749576525873,96.25703513469207,2.06546090377575,0.1202120102726627,13.807988634500848,15.20681929949183,43.181899636,-85.273068863
948,2019,48838,18376.0,17647.0,87.0,8914.0,298.0,2827.0,2567.0,12.0,Kent,57352.48767684827,685.3074627332714,151721.1130538182,0.4734436221158032,96.0328689595124,1.6216804527644757,0.0653025685676969,13.969307792773185,15.384196778406617,43.181899636,-85.273068863
949,2020,48838,17573.0,16853.0,81.0,8429.0,380.0,2016.0,1833.0,16.0,Kent,62234.033414344834,736.999014725031,161645.31105710348,0.4609343879815626,95.90280544016387,2.162408239913504,0.091048767996358,10.43077448358277,11.472144767541115,43.181899636,-85.273068863
960,2011,49301,18371.0,17904.0,93.0,8853.0,463.0,499.0,440.0,15.0,Kent,148210.67011945462,1331.5701856947885,389447.0278608868,0.5062326492841979,97.45795002993847,2.520276522780469,0.0816504273039028,2.395079200914485,2.716237548309836,42.964350163,-85.48767344
961,2012,49301,18990.0,18175.0,135.0,9218.0,498.0,524.0,472.0,16.0,Kent,152984.042910529,1323.152582384557,370668.5218254832,0.7109004739336493,95.70826750921536,2.622432859399684,0.0842548709847288,2.4855186940494995,2.7593470247498684,42.964350163,-85.48767344
962,2013,49301,19366.0,18638.0,138.0,9445.0,509.0,364.0,326.0,15.0,Kent,155336.45360302547,1527.7151405624213,359954.8002421048,0.7125890736342043,96.2408344521326,2.6283176701435504,0.0774553340906743,1.6833625942373234,1.879582773933698,42.964350163,-85.48767344
963,2014,49301,19549.0,18696.0,117.0,9695.0,417.0,617.0,583.0,4.0,Kent,156999.99138280618,1478.8735046634226,370554.9886793728,0.5984960867563558,95.63660545296436,2.133101437413678,0.0204614046754309,2.9822497314440635,3.156171671185227,42.964350163,-85.48767344
964,2015,49301,19768.0,18655.0,103.0,9412.0,448.0,700.0,604.0,4.0,Kent,156084.9387427906,1520.829586063447,374486.6089774151,0.5210441116956698,94.36968838526911,2.26628895184136,0.0202347227842978,3.0554431404289764,3.5410764872521248,42.964350163,-85.48767344
965,2016,49301,20101.0,18654.0,299.0,9725.0,391.0,817.0,711.0,3.0,Kent,158844.13719599845,1481.570262534009,395974.0915889953,1.4874881846674295,92.80135316650912,1.9451768568727923,0.0149246306153922,3.537137455847968,4.064474404258495,42.964350163,-85.48767344
966,2017,49301,19998.0,18737.0,225.0,9730.0,310.0,870.0,766.0,1.0,Kent,150132.11508648822,1530.2225930156658,413818.9286879896,1.125112511251125,93.69436943694367,1.5501550155015502,0.005000500050005,3.830383038303831,4.35043504350435,42.964350163,-85.48767344
967,2018,49301,20382.0,18778.0,278.0,10166.0,178.0,865.0,748.0,2.0,Kent,154521.2283369241,1460.9756319019382,435501.7892770811,1.3639485820822297,92.13031105877737,0.8733195957217152,0.0098125797272102,3.6699048179766462,4.243940732018448,42.964350163,-85.48767344
968,2019,49301,20302.0,18664.0,317.0,10346.0,201.0,523.0,403.0,6.0,Kent,157633.8266583743,1514.8274524069357,441695.5577199138,1.5614225199487737,91.93182937641612,0.9900502413555315,0.0295537385479263,1.985026105802384,2.5761008767609104,42.964350163,-85.48767344
969,2020,49301,19922.0,18110.0,404.0,10546.0,101.0,397.0,366.0,9.0,Kent,168616.19151427102,1360.9758163292906,454914.4078111054,2.027908844493525,90.90452765786569,0.5069772111233812,0.0451761871298062,1.837164943278787,1.9927718100592309,42.964350163,-85.48767344
970,2011,49302,7755.0,7626.0,0.0,3609.0,328.0,348.0,313.0,0.0,Kent,105725.04722613686,1017.303366690525,299908.0764118272,0.0,98.33655705996132,4.229529335912314,0.0,4.036105738233397,4.48742746615087,42.822861162,-85.428837142
971,2012,49302,7830.0,7678.0,6.0,3679.0,312.0,406.0,364.0,0.0,Kent,96087.15473400873,987.387684347152,284006.67264823994,0.0766283524904214,98.058748403576,3.984674329501916,0.0,4.648786717752236,5.185185185185185,42.822861162,-85.428837142
972,2013,49302,8241.0,8018.0,30.0,3797.0,294.0,580.0,533.0,7.0,Kent,98903.85964791784,1020.2207274303842,273236.0384105221,0.3640334910811795,97.29401771629657,3.5675282125955587,0.0849411479189418,6.467661691542288,7.037980827569469,42.822861162,-85.428837142
973,2014,49302,8507.0,8310.0,35.0,4016.0,256.0,512.0,505.0,7.0,Kent,101255.85605907002,982.0543812516896,269646.6485874561,0.4114258845656517,97.68426002115903,3.0092864699659105,0.0822851769131303,5.93628776301869,6.018572939931821,42.822861162,-85.428837142
974,2015,49302,8332.0,8136.0,32.0,4098.0,199.0,606.0,603.0,3.0,Kent,98527.38825485091,806.0525363159605,266113.03830526926,0.3840614498319731,97.64762361977915,2.3883821411425825,0.0360057609217474,7.237157945271242,7.273163706192991,42.822861162,-85.428837142
